publication_date,work,workLabel,researchers,researchersUrl
2022-03-08,http://www.wikidata.org/entity/Q112766604,Genomic Screening to Identify Food Trees Potentially Dispersed by Precolonial Indigenous Peoples,Maurizio Rossetto,../authors/Q26714687
2022-03-06,http://www.wikidata.org/entity/Q112799141,An integrated approach to assessing abiotic and biotic threats to post‐fire plant species recovery: Lessons from the 2019–2020 Australian fire season,Rachael V. Gallagher,../authors/Q62558788
2022-03-03,http://www.wikidata.org/entity/Q112832284,Mapping risk to plant populations from short fire intervals via relationships between maturation period and environmental productivity,Rachael V. Gallagher,../authors/Q62558788
2022-03-02,http://www.wikidata.org/entity/Q112784494,The conservation impacts of ecological disturbance: Time‐bound estimates of population loss and recovery for fauna affected by the 2019–2020 Australian megafires,Rachael V. Gallagher,../authors/Q62558788
2022-02-28,http://www.wikidata.org/entity/Q111145762,WikiProject Clinical Trials snapshot February 2022,Daniel Mietchen,../authors/Q20895785
2022-02-15,http://www.wikidata.org/entity/Q112303939,"Think globally, measure locally: The MIREN standardized protocol for monitoring plant species distributions along elevation gradients",Vigdis Vandvik,../authors/Q42561055
2022-02-03,http://www.wikidata.org/entity/Q111809790,Riparian buffers made of mature oil palms have inconsistent impacts on oil palm ecosystems,Anton Potapov,../authors/Q59062025
2022-01-31,http://www.wikidata.org/entity/Q110772355,The number of tree species on Earth,"Brian S. Maitner, Brian J. Enquist","../authors/Q89748248,Q47172478"
2022-01-30,http://www.wikidata.org/entity/Q112795661,LOTVS: A global collection of permanent vegetation plots,Vigdis Vandvik,../authors/Q42561055
2022-01-22,http://www.wikidata.org/entity/Q112784569,Plant community impact on productivity: Trait diversity or key(stone) species effects?,Brian J. Enquist,../authors/Q47172478
2022-01-20,http://www.wikidata.org/entity/Q112759177,Feeding habits and multifunctional classification of soil‐associated consumers from protists to vertebrates,Anton Potapov,../authors/Q59062025
2022-01-18,http://www.wikidata.org/entity/Q112337250,Threatened Species Initiative: Empowering conservation action using genomic resources,Maurizio Rossetto,../authors/Q26714687
2022-01-04,http://www.wikidata.org/entity/Q112795300,Hydraulic tradeoffs underlie local variation in tropical forest functional diversity and sensitivity to drought,Brian J. Enquist,../authors/Q47172478
2022-01-01,http://www.wikidata.org/entity/Q112664013,Forest landscapes increase diversity of honeybee diets in the tropics,Alexander Keller,../authors/Q21517397
2021-12-30,http://www.wikidata.org/entity/Q112799653,Global maps of soil temperature,"William D. Pearse, Aud H. Halbritter, Vigdis Vandvik","../authors/Q57179980,Q96096151,Q42561055"
2021-12-24,http://www.wikidata.org/entity/Q112800925,Both source‐ and recipient‐range phylogenetic community structure can predict the outcome of avian introductions,"Brian S. Maitner, Brian J. Enquist","../authors/Q89748248,Q47172478"
2021-12-23,http://www.wikidata.org/entity/Q111321770,Climatic and soil factors explain the two-dimensional spectrum of global plant trait variation,Jens Kattge,../authors/Q56556463
2021-12-23,http://www.wikidata.org/entity/Q110694057,"﻿A semantically enriched taxonomic revision of Gryonoides Dodd, 1920 (Hymenoptera, Scelionidae), with a review of the hosts of Teleasinae",Katja Seltmann,../authors/Q6069153
2021-12-21,http://www.wikidata.org/entity/Q112664043,In Vitro Rearing Changes Social Task Performance and Physiology in Honeybees,Markus Ankenbrand,../authors/Q29076435
2021-12-19,http://www.wikidata.org/entity/Q110219996,WikiProject Clinical Trials snapshot of 2021 query results,Daniel Mietchen,../authors/Q20895785
2021-12-17,http://www.wikidata.org/entity/Q111109195,Litter decomposition rates across tropical montane and lowland forests are controlled foremost by climate,Belén Fadrique,../authors/Q88822144
2021-12-15,http://www.wikidata.org/entity/Q110123027,A Simple Standard for Sharing Ontological Mappings (SSSOM),"Melissa Haendel, Anne Thessen","../authors/Q28368079,Q47503085"
2021-11-29,http://www.wikidata.org/entity/Q110094648,Functional recovery of secondary tropical forests,Mark Westoby,../authors/Q43121038
2021-11-25,http://www.wikidata.org/entity/Q109743217,Conservation needs to integrate knowledge across scales,Brian J. Enquist,../authors/Q47172478
2021-11-24,http://www.wikidata.org/entity/Q112841125,Strong trait correlation and phylogenetic signal in North American ground beetle (Carabidae) morphology,William D. Pearse,../authors/Q57179980
2021-11-12,http://www.wikidata.org/entity/Q112664016,Functional resin use in solitary bees,Alexander Keller,../authors/Q21517397
2021-11-11,http://www.wikidata.org/entity/Q112818107,Trait-based research across taxa made easier,Caterina Penone,../authors/Q56433897
2021-11-10,http://www.wikidata.org/entity/Q112817925,The Data Use Ontology to streamline responsible access to human biomedical datasets,Melissa Haendel,../authors/Q28368079
2021-11-10,http://www.wikidata.org/entity/Q112817919,GA4GH: International policies and standards for data sharing across genomic research and healthcare,Melissa Haendel,../authors/Q28368079
2021-11-09,http://www.wikidata.org/entity/Q112664014,Preservation methods of honey bee-collected pollen are not a source of bias in ITS2 metabarcoding,Alexander Keller,../authors/Q21517397
2021-11-03,http://www.wikidata.org/entity/Q112664017,An integrative environmental pollen diversity assessment and its importance for the Sustainable Development Goals,Alexander Keller,../authors/Q21517397
2021-11-01,http://www.wikidata.org/entity/Q112760558,Scientists' warning to humanity on illegal or unsustainable wildlife trade,Carlos Alberto Martínez-Muñoz,../authors/Q104006568
2021-11-01,http://www.wikidata.org/entity/Q112664021,DNA sequence-based biodiversity and interaction ecology,Alexander Keller,../authors/Q21517397
2021-10-29,http://www.wikidata.org/entity/Q109318602,WikiCite 2020-2021: Citations for the sum of all human knowledge,Daniel Mietchen,../authors/Q20895785
2021-10-28,http://www.wikidata.org/entity/Q112664012,How wild bees find a way in European cities: Pollen metabarcoding unravels multiple feeding strategies and their effects on distribution patterns in four wild bee species,Alexander Keller,../authors/Q21517397
2021-10-16,http://www.wikidata.org/entity/Q112806439,Strategic traits of bacteria and archaea vary widely within substrate-use groups,Mark Westoby,../authors/Q43121038
2021-10-15,http://www.wikidata.org/entity/Q112795053,Fractal triads efficiently sample ecological diversity and processes across spatial scales,William D. Pearse,../authors/Q57179980
2021-10-13,http://www.wikidata.org/entity/Q112820909,OBO Foundry in 2021: operationalizing open data principles to evaluate ontologies,Melissa Haendel,../authors/Q28368079
2021-10-13,http://www.wikidata.org/entity/Q112689937,Associations between HIV infection and clinical spectrum of COVID-19: a population level analysis based on US National COVID Cohort Collaborative (N3C) data,Melissa Haendel,../authors/Q28368079
2021-10-12,http://www.wikidata.org/entity/Q108934353,Metadata for a set of 100 publications from the field of invasion biology,Daniel Mietchen,../authors/Q20895785
2021-10-10,http://www.wikidata.org/entity/Q112836588,Changes in plant composition and diversity in an alpine heath and meadow after 18 years of experimental warming,Mohammad Bagher Erfanian,../authors/Q92348435
2021-10-05,http://www.wikidata.org/entity/Q112664042,A data‐driven semantic segmentation model for direct cardiac functional analysis based on undersampled radial MR cine series,Markus Ankenbrand,../authors/Q29076435
2021-10-04,http://www.wikidata.org/entity/Q112289442,Severe vegetation degradation associated with different disturbance types in a poorly managed urban recreation destination in Iran,Mohammad Bagher Erfanian,../authors/Q92348435
2021-10-01,http://www.wikidata.org/entity/Q109800756,LOTVS: a global collection of permanent vegetation plots,Vigdis Vandvik,../authors/Q42561055
2021-10-01,http://www.wikidata.org/entity/Q108940209,Liberating host–virus knowledge from biological dark data,Jorrit Poelen,../authors/Q58206618
2021-09-30,http://www.wikidata.org/entity/Q111324886,"AusTraits, a curated plant trait database for the Australian flora","Mark Westoby, Rachael V. Gallagher","../authors/Q43121038,Q62558788"
2021-09-28,http://www.wikidata.org/entity/Q112795064,Coastal heathland vegetation is surprisingly resistant to experimental drought across successional stages and latitude,Vigdis Vandvik,../authors/Q42561055
2021-09-28,http://www.wikidata.org/entity/Q108766311,Representing COVID-19 information in collaborative knowledge graphs: The case of Wikidata,Daniel Mietchen,../authors/Q20895785
2021-09-27,http://www.wikidata.org/entity/Q112811883,The three major axes of terrestrial ecosystem function,Jens Kattge,../authors/Q56556463
2021-09-20,http://www.wikidata.org/entity/Q112664019,Species richness is more important for ecosystem functioning than species turnover along an elevational gradient,Alexander Keller,../authors/Q21517397
2021-09-18,http://www.wikidata.org/entity/Q112664044,Dealing with software complexity in individual‐based models,Markus Ankenbrand,../authors/Q29076435
2021-09-09,http://www.wikidata.org/entity/Q108556062,The adaptive challenge of extreme conditions shapes evolutionary diversity of plant assemblages at continental scales,Brian J. Enquist,../authors/Q47172478
2021-09-07,http://www.wikidata.org/entity/Q112765367,Announcing Big-Bee: An initiative to promote understanding of bees through image and trait digitization,"Katja Seltmann, Jorrit Poelen","../authors/Q6069153,Q58206618"
2021-09-01,http://www.wikidata.org/entity/Q110730653,"How deregulation, drought and increasing fire impact Amazonian biodiversity","Brian S. Maitner, Brian J. Enquist","../authors/Q89748248,Q47172478"
2021-08-30,http://www.wikidata.org/entity/Q108461450,Can bryophyte groups increase functional resolution in tundra ecosystems?,Vigdis Vandvik,../authors/Q42561055
2021-08-30,http://www.wikidata.org/entity/Q112799180,LT‐Brazil: A database of leaf traits across biomes and vegetation types in Brazil,Jens Kattge,../authors/Q56556463
2021-08-24,http://www.wikidata.org/entity/Q112768096,Evolutionary Diversity Peaks at Mid-Elevations Along an Amazon-to-Andes Elevation Gradient,William Farfan-Rios,../authors/Q56423107
2021-08-23,http://www.wikidata.org/entity/Q109329353,"Areas of global importance for conserving terrestrial biodiversity, carbon and water","Rachael V. Gallagher, Brian S. Maitner, Brian J. Enquist","../authors/Q62558788,Q89748248,Q47172478"
2021-08-23,http://www.wikidata.org/entity/Q112801687,A roadmap to plant functional island biogeography,Mark Westoby,../authors/Q43121038
2021-08-18,http://www.wikidata.org/entity/Q108138420,"Towards an open, zoomable atlas for invasion science and beyond",Daniel Mietchen,../authors/Q20895785
2021-08-16,http://www.wikidata.org/entity/Q112808645,Is there tree senescence? The fecundity evidence,William Farfan-Rios,../authors/Q56423107
2021-08-14,http://www.wikidata.org/entity/Q108100092,An overview of the COVID-19 related content of Wikimedia projects,Daniel Mietchen,../authors/Q20895785
2021-08-11,http://www.wikidata.org/entity/Q112795326,The evolutionary assembly of forest communities along environmental gradients: recent diversification or sorting of pre‐adapted clades?,William Farfan-Rios,../authors/Q56423107
2021-08-08,http://www.wikidata.org/entity/Q112664020,Standard methods for pollen research,"Alexander Keller, Markus Ankenbrand","../authors/Q21517397,Q29076435"
2021-08-01,http://www.wikidata.org/entity/Q109227245,Taking the pulse of Earth's tropical forests using networks of highly distributed plots,"Belén Fadrique, William Farfan-Rios","../authors/Q88822144,Q56423107"
2021-08-01,http://www.wikidata.org/entity/Q112759188,"Multidimensional trophic niche revealed by complementary approaches: Gut content, digestive enzymes, fatty acids and stable isotopes in Collembola",Anton Potapov,../authors/Q59062025
2021-08-01,http://www.wikidata.org/entity/Q112664047,Self-configuring nnU-net pipeline enables fully automatic infarct segmentation in late enhancement MRI after myocardial infarction,Markus Ankenbrand,../authors/Q29076435
2021-07-23,http://www.wikidata.org/entity/Q112820477,A guide to using species trait data in conservation,Rachael V. Gallagher,../authors/Q62558788
2021-07-13,http://www.wikidata.org/entity/Q112765401,Comprehensive leaf size traits dataset for seven plant species from digitised herbarium specimen images covering more than two centuries,Jens Kattge,../authors/Q56556463
2021-07-12,http://www.wikidata.org/entity/Q112759185,Size compartmentalization of energy channeling in terrestrial belowground food webs,Anton Potapov,../authors/Q59062025
2021-07-02,http://www.wikidata.org/entity/Q112795342,An integrated framework of plant form and function: the belowground perspective,Jens Kattge,../authors/Q56556463
2021-07-01,http://www.wikidata.org/entity/Q107394423,Wikipedia for multilingual COVID-19 vaccine education at scale,Daniel Mietchen,../authors/Q20895785
2021-06-29,http://www.wikidata.org/entity/Q112801604,A review of the heterogeneous landscape of biodiversity databases: opportunities and challenges for a synthesized biodiversity knowledge base,"Rachael V. Gallagher, Brian J. Enquist","../authors/Q62558788,Q47172478"
2021-06-25,http://www.wikidata.org/entity/Q112799852,Embedding biodiversity research into climate adaptation policy and practice,Rachael V. Gallagher,../authors/Q62558788
2021-06-24,http://www.wikidata.org/entity/Q112812613,Contrasting responses of above- and belowground diversity to multiple components of land-use intensity,Caterina Penone,../authors/Q56433897
2021-06-21,http://www.wikidata.org/entity/Q112569907,occCite: Tools for querying and managing large biodiversity occurrence datasets,Brian S. Maitner,../authors/Q89748248
2021-06-21,http://www.wikidata.org/entity/Q112799201,"sPlotOpen – An environmentally balanced, open‐access, global dataset of vegetation plots","Jens Kattge, Brian J. Enquist","../authors/Q56556463,Q47172478"
2021-06-18,http://www.wikidata.org/entity/Q112806747,"Leaf size estimation based on leaf length, width and shape",Rachael V. Gallagher,../authors/Q62558788
2021-06-17,http://www.wikidata.org/entity/Q107281306,Wikipedia for multilingual COVID-19 vaccine education at scale,Daniel Mietchen,../authors/Q20895785
2021-06-16,http://www.wikidata.org/entity/Q112760568,"On the correct authorship, spelling, and type species of genus Dasongius (Pauropoda: Pauropodidae)",Carlos Alberto Martínez-Muñoz,../authors/Q104006568
2021-06-16,http://www.wikidata.org/entity/Q107265521,Developing a scalable framework for partnerships between health agencies and the Wikimedia ecosystem,Daniel Mietchen,../authors/Q20895785
2021-06-16,http://www.wikidata.org/entity/Q107265514,Radical collaboration during a global health emergency: development of the RDA COVID-19 data sharing recommendations and guidelines,Daniel Mietchen,../authors/Q20895785
2021-06-15,http://www.wikidata.org/entity/Q107256956,"Holistic understanding of contemporary ecosystems requires integration of data on domesticated, captive and cultivated organisms",Jorrit Poelen,../authors/Q58206618
2021-06-10,http://www.wikidata.org/entity/Q107335229,Root traits explain plant species distributions along climatic gradients yet challenge the nature of ecological trade-offs,Jens Kattge,../authors/Q56556463
2021-06-07,http://www.wikidata.org/entity/Q112759191,"Multifunctionality of belowground food webs: resource, size and spatial energy channels",Anton Potapov,../authors/Q59062025
2021-06-07,http://www.wikidata.org/entity/Q112767129,Allele Surfing and Holocene Expansion of an Australian Fig (Ficus—Moraceae),Maurizio Rossetto,../authors/Q26714687
2021-06-01,http://www.wikidata.org/entity/Q112761661,SNAPSHOT USA 2019: a coordinated national camera trap survey of the United States,Katherine C B Weiss,../authors/Q88797887
2021-06-01,http://www.wikidata.org/entity/Q112761659,Aligning actions with objectives in endangered species recovery plans,Katherine C B Weiss,../authors/Q88797887
2021-05-29,http://www.wikidata.org/entity/Q107085347,Assessing the Causal Impact of COVID-19 Related Policies on Outbreak Dynamics: A Case Study in the US,Daniel Mietchen,../authors/Q20895785
2021-05-25,http://www.wikidata.org/entity/Q112799216,Functional biogeography of Neotropical moist forests: Trait–climate relationships and assembly patterns of tree communities,Jens Kattge,../authors/Q56556463
2021-05-24,http://www.wikidata.org/entity/Q112796148,Disentangling direct and indirect effects of island area on plant functional trait distributions,Mark Westoby,../authors/Q43121038
2021-05-20,http://www.wikidata.org/entity/Q112569905,The dimensionality and structure of species trait spaces,Brian S. Maitner,../authors/Q89748248
2021-05-18,http://www.wikidata.org/entity/Q112664045,Deep learning‐based cardiac cine segmentation: Transfer learning application to 7T ultrahigh‐field MRI,Markus Ankenbrand,../authors/Q29076435
2021-05-17,http://www.wikidata.org/entity/Q112569903,Source range phylogenetic community structure can predict the outcome of avian introductions,"Brian S. Maitner, Brian J. Enquist","../authors/Q89748248,Q47172478"
2021-05-17,http://www.wikidata.org/entity/Q112490668,Evolutionary Rescue as a Mechanism Allowing a Clonal Grass to Adapt to Novel Climates,Vigdis Vandvik,../authors/Q42561055
2021-05-17,http://www.wikidata.org/entity/Q112273024,Cryptic species and hidden ecological interactions of halictine bees along an elevational gradient,Alexander Keller,../authors/Q21517397
2021-05-14,http://www.wikidata.org/entity/Q112842044,"Maternal effects strengthen interactions of temperature and precipitation, determining seed germination of dominant alpine grass species",Vigdis Vandvik,../authors/Q42561055
2021-05-12,http://www.wikidata.org/entity/Q106830416,Open science in practice: 300 published research ideas and outcomes illustrate how RIO Journal facilitates engagement with the research process,Daniel Mietchen,../authors/Q20895785
2021-05-11,http://www.wikidata.org/entity/Q111172499,Where we've been and where we're going: the importance of source communities in predicting establishment success from phylogenetic relationships,"Brian S. Maitner, Brian J. Enquist","../authors/Q89748248,Q47172478"
2021-05-03,http://www.wikidata.org/entity/Q112569900,Human food use increases plant geographical ranges in the Sonoran Desert,"Brian S. Maitner, Brian J. Enquist","../authors/Q89748248,Q47172478"
2021-05-01,http://www.wikidata.org/entity/Q107507543,Ten simple rules to cultivate transdisciplinary collaboration in data science,Meghan Balk,../authors/Q59763318
2021-05-01,http://www.wikidata.org/entity/Q112664026,Putative roles of bacteria in the carbon and nitrogen cycles in a tropical peat swamp forest,Alexander Keller,../authors/Q21517397
2021-05-01,http://www.wikidata.org/entity/Q107863333,Effects of three flower field types on bumblebees and their pollen diets,Alexander Keller,../authors/Q21517397
2021-04-29,http://www.wikidata.org/entity/Q111160408,Oil palm and rubber expansion facilitates earthworm invasion in Indonesia,Anton Potapov,../authors/Q59062025
2021-04-25,http://www.wikidata.org/entity/Q112800718,Trait dimensions in bacteria and archaea compared to vascular plants,"Mark Westoby, Joshua S Madin","../authors/Q43121038,Q51171519"
2021-04-21,http://www.wikidata.org/entity/Q110259961,"Multiscale mapping of plant functional groups and plant traits in the High Arctic using field spectroscopy, UAV imagery and Sentinel-2A data","Vigdis Vandvik, Brian S. Maitner, Aud H. Halbritter, Brian J. Enquist","../authors/Q42561055,Q89748248,Q96096151,Q47172478"
2021-04-14,http://www.wikidata.org/entity/Q112832686,The conservative low‐phosphorus niche in Proteaceae,Mark Westoby,../authors/Q43121038
2021-04-09,http://www.wikidata.org/entity/Q109227263,Mature Andean forests as globally important carbon sinks and future carbon refuges,William Farfan-Rios,../authors/Q56423107
2021-04-06,http://www.wikidata.org/entity/Q108127143,Drug repositioning candidates identified using in-silico quasi-quantum molecular simulation demonstrate reduced COVID-19 mortality in 1.5M patient records,Melissa Haendel,../authors/Q28368079
2021-04-02,http://www.wikidata.org/entity/Q106697289,Knowledge graphs and wikidata subsetting,Daniel Mietchen,../authors/Q20895785
2021-04-01,http://www.wikidata.org/entity/Q112569901,Next-generation field courses: Integrating Open Science and online learning,"Vigdis Vandvik, Brian S. Maitner, Aud H. Halbritter, Brian J. Enquist, William Farfan-Rios","../authors/Q42561055,Q89748248,Q96096151,Q47172478,Q56423107"
2021-04-01,http://www.wikidata.org/entity/Q106498418,"Sharing biological data: why, when, and how",Melissa Haendel,../authors/Q28368079
2021-03-25,http://www.wikidata.org/entity/Q106235601,FAIR and open multilingual clinical trials in Wikidata and Wikipedia,Daniel Mietchen,../authors/Q20895785
2021-03-19,http://www.wikidata.org/entity/Q112569898,High fire frequency and the impact of the 2019–2020 megafires on Australian plant diversity,"Rachael V. Gallagher, Brian S. Maitner","../authors/Q62558788,Q89748248"
2021-03-18,http://www.wikidata.org/entity/Q112795741,Different sets of traits explain abundance and distribution patterns of European plants at different spatial scales,Vigdis Vandvik,../authors/Q42561055
2021-03-17,http://www.wikidata.org/entity/Q112602272,Climate change transforms the functional identity of Mediterranean coralligenous assemblages,Joshua S Madin,../authors/Q51171519
2021-03-17,http://www.wikidata.org/entity/Q112841547,"Cell size, genome size, and maximum growth rate are near‐independent dimensions of ecological variation across bacteria and archaea","Mark Westoby, Joshua S Madin","../authors/Q43121038,Q51171519"
2021-03-16,http://www.wikidata.org/entity/Q112770972,Underrepresentation of Phenotypic Variability of 16p13.11 Microduplication Syndrome Assessed With an Online Self-Phenotyping Tool (Phenotypr): Cohort Study,Melissa Haendel,../authors/Q28368079
2021-03-05,http://www.wikidata.org/entity/Q111289004,Vital rates in early life history underlie shifts in biotic interactions along bioclimatic gradients: An experimental test of the Stress Gradient Hypothesis,Vigdis Vandvik,../authors/Q42561055
2021-03-03,http://www.wikidata.org/entity/Q112841168,Phylogenetic diversity efficiently and accurately prioritizes conservation of aquatic macroinvertebrate communities,William D. Pearse,../authors/Q57179980
2021-03-03,http://www.wikidata.org/entity/Q112805595,Motivating data contributions via a distinct career currency,Mark Westoby,../authors/Q43121038
2021-03-01,http://www.wikidata.org/entity/Q105742243,The LOTUS Initiative for Open Natural Products Research: Knowledge Management through Wikidata,Daniel Mietchen,../authors/Q20895785
2021-03-01,http://www.wikidata.org/entity/Q108081874,A reporting format for leaf-level gas exchange data and metadata,"Jens Kattge, Vigdis Vandvik, Aud H. Halbritter","../authors/Q56556463,Q42561055,Q96096151"
2021-03-01,http://www.wikidata.org/entity/Q112759798,From Reductionism to Reintegration: Solving society's most pressing problems requires building bridges between data types across the life sciences,"Melissa Haendel, Anne Thessen","../authors/Q28368079,Q47503085"
2021-02-28,http://www.wikidata.org/entity/Q107366179,Molecular phylogeography reveals two geographically and temporally separated floristic exchange tracks between Southeast Asia and northern Australia,Maurizio Rossetto,../authors/Q26714687
2021-02-27,http://www.wikidata.org/entity/Q112800733,Climatic and evolutionary contexts are required to infer plant life history strategies from functional traits at a global scale,Jens Kattge,../authors/Q56556463
2021-02-25,http://www.wikidata.org/entity/Q112569895,Consistent trait–environment relationships within and across tundra plant communities,"Vigdis Vandvik, Brian S. Maitner, Aud H. Halbritter, Brian J. Enquist","../authors/Q42561055,Q89748248,Q96096151,Q47172478"
2021-02-18,http://www.wikidata.org/entity/Q105829431,Representing COVID-19 information in collaborative knowledge graphs: the case of Wikidata,Daniel Mietchen,../authors/Q20895785
2021-02-15,http://www.wikidata.org/entity/Q107504390,Sensitivity analysis for interpretation of machine learning based segmentation models in cardiac MRI,Markus Ankenbrand,../authors/Q29076435
2021-02-15,http://www.wikidata.org/entity/Q112822952,A conservation genomics workflow to guide practical management actions,"Maurizio Rossetto, Rachael V. Gallagher","../authors/Q26714687,Q62558788"
2021-02-10,http://www.wikidata.org/entity/Q112826444,Introducing the index-based ecological condition assessment framework (IBECA),Vigdis Vandvik,../authors/Q42561055
2021-02-10,http://www.wikidata.org/entity/Q112804406,Effects of plant hydraulic traits on the flammability of live fine canopy fuels,Mark Westoby,../authors/Q43121038
2021-02-09,http://www.wikidata.org/entity/Q112767137,Conserving Refugia: What Are We Protecting and Why?,Maurizio Rossetto,../authors/Q26714687
2021-02-03,http://www.wikidata.org/entity/Q107363272,UVA School of Data Science Open Access Guidelines and Recommendations,Daniel Mietchen,../authors/Q20895785
2021-02-01,http://www.wikidata.org/entity/Q112664024,Pollen diets and niche overlap of honey bees and native bees in protected areas,Alexander Keller,../authors/Q21517397
2021-02-01,http://www.wikidata.org/entity/Q112664023,Changes amid constancy: Flower and leaf microbiomes along land use gradients and between bioregions,Alexander Keller,../authors/Q21517397
2021-01-29,http://www.wikidata.org/entity/Q112811815,An Indo-Pacific coral spawning database,Joshua S Madin,../authors/Q51171519
2021-01-29,http://www.wikidata.org/entity/Q112800082,Macroecological context predicts species' responses to climate warming,Vigdis Vandvik,../authors/Q42561055
2021-01-26,http://www.wikidata.org/entity/Q112841562,PhenoSpace: A Shiny application to visualize trait data in the phenotypic space of the global spectrum of plant form and function,Jens Kattge,../authors/Q56556463
