"","scientificNameVerbatim","traitNameVerbatim","NumberOfRecords","OTNdatasetID","curator","accessDate"
"71","Acrotrichis fascicularis","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"72","Acrotrichis fascicularis","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"73","Acrotrichis fascicularis","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"74","Acrotrichis fascicularis","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"75","Acrotrichis fascicularis","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"76","Acrotrichis fascicularis","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"77","Acrotrichis fascicularis","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"78","Acrotrichis grandicollis","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"79","Acrotrichis grandicollis","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"80","Acrotrichis grandicollis","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"81","Acrotrichis grandicollis","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"82","Acrotrichis grandicollis","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"83","Acrotrichis grandicollis","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"84","Acrotrichis grandicollis","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"85","Acrotrichis intermedia","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"86","Acrotrichis intermedia","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"87","Acrotrichis intermedia","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"88","Acrotrichis intermedia","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"89","Acrotrichis intermedia","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"90","Acrotrichis intermedia","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"91","Acrotrichis intermedia","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"92","Acrotrichis sitkaensis","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"93","Acrotrichis sitkaensis","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"94","Acrotrichis sitkaensis","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"95","Acrotrichis sitkaensis","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"96","Acrotrichis sitkaensis","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"97","Acrotrichis sitkaensis","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"98","Acrotrichis sitkaensis","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"99","Aculepeira ceropegia","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"100","Aculepeira ceropegia","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"101","Aculepeira ceropegia","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"102","Aculepeira ceropegia","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"103","Aculepeira ceropegia","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"104","Aculepeira ceropegia","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"105","Aculepeira ceropegia","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"106","Adalia bipunctata","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"107","Adalia bipunctata","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"108","Adalia bipunctata","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"109","Adalia bipunctata","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"110","Adalia bipunctata","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"111","Adalia bipunctata","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"112","Adalia bipunctata","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"113","Adalia decempunctata","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"114","Adalia decempunctata","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"115","Adalia decempunctata","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"116","Adalia decempunctata","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"117","Adalia decempunctata","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"118","Adalia decempunctata","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"119","Adalia decempunctata","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"120","Adarrus multinotatus","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"121","Adarrus multinotatus","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"122","Adarrus multinotatus","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"123","Adarrus multinotatus","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"124","Adarrus multinotatus","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"125","Adarrus multinotatus","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"126","Adarrus multinotatus","Feeding_tissue",1,"arthropod-species-traits","alexander-keller",2022-08-09
"127","Adarrus multinotatus","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"128","Adarrus multinotatus","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"129","Adelphocoris lineolatus","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"130","Adelphocoris lineolatus","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"131","Adelphocoris lineolatus","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"132","Adelphocoris lineolatus","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"133","Adelphocoris lineolatus","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"134","Adelphocoris lineolatus","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"135","Adelphocoris lineolatus","Feeding_tissue",1,"arthropod-species-traits","alexander-keller",2022-08-09
"136","Adelphocoris lineolatus","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"137","Adelphocoris lineolatus","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"138","Adelphocoris quadripunctatus","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"139","Adelphocoris quadripunctatus","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"140","Adelphocoris quadripunctatus","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"141","Adelphocoris quadripunctatus","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"142","Adelphocoris quadripunctatus","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"143","Adelphocoris quadripunctatus","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"144","Adelphocoris quadripunctatus","Feeding_tissue",1,"arthropod-species-traits","alexander-keller",2022-08-09
"145","Adelphocoris quadripunctatus","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"146","Adelphocoris quadripunctatus","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"147","Adelphocoris seticornis","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"148","Adelphocoris seticornis","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"149","Adelphocoris seticornis","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"150","Adelphocoris seticornis","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"151","Adelphocoris seticornis","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"152","Adelphocoris seticornis","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"153","Adelphocoris seticornis","Feeding_tissue",1,"arthropod-species-traits","alexander-keller",2022-08-09
"154","Adelphocoris seticornis","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"155","Adelphocoris seticornis","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"156","Adelphocoris ticinensis","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"157","Adelphocoris ticinensis","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"158","Adelphocoris ticinensis","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"159","Adelphocoris ticinensis","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"160","Adelphocoris ticinensis","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"161","Adelphocoris ticinensis","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"162","Adelphocoris ticinensis","Feeding_tissue",1,"arthropod-species-traits","alexander-keller",2022-08-09
"163","Adelphocoris ticinensis","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"164","Adelphocoris ticinensis","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"165","Adistemia watsoni","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"166","Adistemia watsoni","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"167","Adistemia watsoni","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"168","Adistemia watsoni","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"169","Adistemia watsoni","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"170","Adistemia watsoni","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"171","Adistemia watsoni","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"172","Adrastus pallens","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"173","Adrastus pallens","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"174","Adrastus pallens","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"175","Adrastus pallens","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"176","Adrastus pallens","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"177","Adrastus pallens","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"178","Adrastus pallens","Feeding_plant_part",1,"arthropod-species-traits","alexander-keller",2022-08-09
"179","Adrastus pallens","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"180","Adrastus pallens","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"181","Adrastus rachifer","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"182","Adrastus rachifer","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"183","Adrastus rachifer","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"184","Adrastus rachifer","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"185","Adrastus rachifer","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"186","Adrastus rachifer","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"187","Adrastus rachifer","Feeding_plant_part",1,"arthropod-species-traits","alexander-keller",2022-08-09
"188","Adrastus rachifer","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"189","Adrastus rachifer","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"190","Aelia acuminata","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"191","Aelia acuminata","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"192","Aelia acuminata","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"193","Aelia acuminata","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"194","Aelia acuminata","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"195","Aelia acuminata","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"196","Aelia acuminata","Feeding_tissue",1,"arthropod-species-traits","alexander-keller",2022-08-09
"197","Aelia acuminata","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"198","Aelia acuminata","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"199","Aelia klugii","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"200","Aelia klugii","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"201","Aelia klugii","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"202","Aelia klugii","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"203","Aelia klugii","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"204","Aelia klugii","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"205","Aelia klugii","Feeding_tissue",1,"arthropod-species-traits","alexander-keller",2022-08-09
"206","Aelia klugii","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"207","Aelia klugii","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"208","Agalenatea redii","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"209","Agalenatea redii","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"210","Agalenatea redii","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"211","Agalenatea redii","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"212","Agalenatea redii","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"213","Agalenatea redii","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"214","Agalenatea redii","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"215","Agallia brachyptera","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"216","Agallia brachyptera","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"217","Agallia brachyptera","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"218","Agallia brachyptera","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"219","Agallia brachyptera","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"220","Agallia brachyptera","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"221","Agallia brachyptera","Feeding_tissue",1,"arthropod-species-traits","alexander-keller",2022-08-09
"222","Agallia brachyptera","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"223","Agallia brachyptera","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"224","Agathidium marginatum","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"225","Agathidium marginatum","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"226","Agathidium marginatum","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"227","Agathidium marginatum","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"228","Agathidium marginatum","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"229","Agathidium marginatum","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"230","Agathidium marginatum","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"231","Agathidium varians","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"232","Agathidium varians","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"233","Agathidium varians","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"234","Agathidium varians","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"235","Agathidium varians","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"236","Agathidium varians","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"237","Agathidium varians","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"238","Agriotes acuminatus","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"239","Agriotes acuminatus","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"240","Agriotes acuminatus","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"241","Agriotes acuminatus","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"242","Agriotes acuminatus","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"243","Agriotes acuminatus","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"244","Agriotes acuminatus","Feeding_plant_part",1,"arthropod-species-traits","alexander-keller",2022-08-09
"245","Agriotes acuminatus","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"246","Agriotes acuminatus","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"247","Agriotes gallicus","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"248","Agriotes gallicus","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"249","Agriotes gallicus","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"250","Agriotes gallicus","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"251","Agriotes gallicus","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"252","Agriotes gallicus","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"253","Agriotes gallicus","Feeding_plant_part",1,"arthropod-species-traits","alexander-keller",2022-08-09
"254","Agriotes gallicus","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"255","Agriotes gallicus","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"256","Agriotes lineatus","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"257","Agriotes lineatus","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"258","Agriotes lineatus","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"259","Agriotes lineatus","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"260","Agriotes lineatus","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"261","Agriotes lineatus","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"262","Agriotes lineatus","Feeding_plant_part",1,"arthropod-species-traits","alexander-keller",2022-08-09
"263","Agriotes lineatus","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"264","Agriotes lineatus","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"265","Agriotes obscurus","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"266","Agriotes obscurus","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"267","Agriotes obscurus","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"268","Agriotes obscurus","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"269","Agriotes obscurus","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"270","Agriotes obscurus","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"271","Agriotes obscurus","Feeding_plant_part",1,"arthropod-species-traits","alexander-keller",2022-08-09
"272","Agriotes obscurus","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"273","Agriotes obscurus","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"274","Agriotes pallidulus","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
"275","Agriotes pallidulus","Dispersal_ability",1,"arthropod-species-traits","alexander-keller",2022-08-09
"276","Agriotes pallidulus","Feeding_guild",1,"arthropod-species-traits","alexander-keller",2022-08-09
"277","Agriotes pallidulus","Feeding_guild_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"278","Agriotes pallidulus","Feeding_mode",1,"arthropod-species-traits","alexander-keller",2022-08-09
"279","Agriotes pallidulus","Feeding_specialization",1,"arthropod-species-traits","alexander-keller",2022-08-09
"280","Agriotes pallidulus","Feeding_plant_part",1,"arthropod-species-traits","alexander-keller",2022-08-09
"281","Agriotes pallidulus","Stratum_use",1,"arthropod-species-traits","alexander-keller",2022-08-09
"282","Agriotes pallidulus","Stratum_use_short",1,"arthropod-species-traits","alexander-keller",2022-08-09
"283","Agriotes pilosellus","Body_Size",1,"arthropod-species-traits","alexander-keller",2022-08-09
